Jenis Kejadian;Tahun Kejadian;Kecamatan;Desa
Banjir;2023;TARUMAJAYA;Sindangmulya
Banjir;2023;TARUMAJAYA;Pasirsari
Banjir;2023;TARUMAJAYA;Sukadami
Banjir;2023;BABELAN;Cibarusah Jaya
Banjir;2023;BABELAN;Cicau
Banjir;2023;BABELAN;Mekarmukti
Banjir;2023;CABANGBUNGIN;Karangraharja
Banjir;2023;CABANGBUNGIN;Jayamukti
Banjir;2023;CIKARANG UTARA;Karangsari
Banjir;2023;CIKARANG UTARA;Taman Rahayu
Banjir;2023;CIBITUNG;Tanjungsari
Banjir;2023;CIBITUNG;Karangbaru
Banjir;2023;TAMBUN SELATAN;Simpangan
Banjir;2023;CIKARANG BARAT;Sukasari
Banjir;2023;CIBITUNG;Sukajadi
Banjir;2023;CIKARANG UTARA;Kalijaya
Tanah Longsor;2023;CIKARANG UTARA;Sukabungah
Tanah Longsor;2023;TAMBUN UTARA;Cijengkol
Cuaca Ekstrem;2023;TAMBUN UTARA;Wanasari
Tanah Longsor;2023;TAMBUN UTARA;Ridomanah
Cuaca Ekstrem;2023;TAMBUN UTARA;Sriamur
Cuaca Ekstrem;2023;PEBAYURAN;Karangasih
Tanah Longsor;2023;KARANG BAHAGIA;Sukamukti
Tanah Longsor;2023;KARANG BAHAGIA;Sukaragam
Banjir;2023;TAMBELANG;Karangraharja
Banjir;2023;TAMBELANG;Tanjungsari
Banjir;2023;TAMBELANG;Karangraharja
Banjir;2023;TAMBELANG;Tanjungsari
Banjir;2023;TAMBELANG;Karanganyar
Cuaca Ekstrem;2023;TAMBELANG;Sukalaksana
Cuaca Ekstrem;2023;TAMBELANG;Karangindah
Banjir;2023;KEDUNG WARINGIN;Satriamekar
Banjir;2023;SUKAKARYA;Satriajaya
Banjir;2023;SUKAKARYA;Sriamur
Banjir;2023;SUKAKARYA;Karangraharja
Banjir;2023;SUKAKARYA;Pasirgombong
Banjir;2023;SUKAKARYA;Tanjungsari
Banjir;2023;SUKAKARYA;Wanasari
Kekeringan;2023;SUKAKARYA;Lenggahjaya
Kekeringan;2023;SUKAKARYA;Bunibakti
Kekeringan;2023;SUKAKARYA;Sindangmulya
Kekeringan;2023;SUKAKARYA;Karangmulya
Kekeringan;2023;SUKAKARYA;Kedung Pengawas
Kekeringan;2023;SUKAKARYA;Kebalen
Kekeringan;2023;SUKAKARYA;Sukakerta
Kekeringan;2023;SUKAKARYA;Pantai Harapanjaya
Kekeringan;2023;SUKAKARYA;Lenggahsari
Kekeringan;2023;SUKAKARYA;Kedungjaya
Kekeringan;2023;SUKAKARYA;Sirnajaya
Kekeringan;2023;SUKAKARYA;Setiajaya
Kekeringan;2023;SUKAKARYA;Sindangjaya
Kekeringan;2023;SUKAKARYA;Sukatenang
Kekeringan;2023;SUKAKARYA;Pantai Mekar
Kekeringan;2023;SUKAKARYA;Bantarjaya
Kekeringan;2023;SUKAKARYA;Karangsetia
Kekeringan;2023;SUKAKARYA;Cicau
Kekeringan;2023;SUKAKARYA;Sukaringin
Kekeringan;2023;SUKAKARYA;Muarabakti
Kekeringan;2023;SUKAKARYA;Cibarusah Kota
Kekeringan;2023;SUKAKARYA;Sukadaya
Kekeringan;2023;SUKATANI;Pantaihurip
Kekeringan;2023;SUKATANI;Sirnajaya
Kekeringan;2023;SUKATANI;Pantai Bakti
Kekeringan;2023;SUKATANI;Jayabakti
Kekeringan;2023;SUKATANI;Sukamukti
Kekeringan;2023;SUKATANI;Ridomanah
Kekeringan;2023;SUKATANI;Cilangkara
Kekeringan;2023;SUKATANI;Hurip Jaya
Kekeringan;2023;SUKATANI;Wibawamulya
Kekeringan;2023;SUKATANI;Kertasari
Kekeringan;2023;SUKATANI;Jayalaksana
Kekeringan;2023;SUKATANI;Sukabudi
Kekeringan;2023;SUKATANI;Sindangsari
Kekeringan;2023;CABANGBUNGIN;Sukawangi
Kekeringan;2023;CABANGBUNGIN;Jayasakti
Kekeringan;2023;CABANGBUNGIN;Setialaksana
Kekeringan;2023;CABANGBUNGIN;Pasiranji
Kekeringan;2023;CABANGBUNGIN;Medalkrisna
Kekeringan;2023;CABANGBUNGIN;Karangbahagia
Kekeringan;2023;CABANGBUNGIN;Karangindah
Kekeringan;2023;CABANGBUNGIN;Karangsegar
Kekeringan;2023;CABANGBUNGIN;Pantai Sederhana
Kekeringan;2023;CABANGBUNGIN;Nagacipta
Kekeringan;2023;CABANGBUNGIN;Sukamulya
Kekeringan;2023;CABANGBUNGIN;Ridogalih
Banjir;2023;CABANGBUNGIN;Sukaraya
Banjir;2023;CABANGBUNGIN;Sukajadi
Cuaca Ekstrem;2023;CABANGBUNGIN;Sertajaya
Cuaca Ekstrem;2023;CABANGBUNGIN;Sukamukti
Cuaca Ekstrem;2023;CABANGBUNGIN;Bojongmangu
Cuaca Ekstrem;2023;CABANGBUNGIN;Sukabungah
Cuaca Ekstrem;2023;CABANGBUNGIN;Gandamekar
Banjir;2023;CABANGBUNGIN;Karangraharja
Banjir;2023;CABANGBUNGIN;Tanjungsari
Banjir;2023;CABANGBUNGIN;Satriamekar
Banjir;2023;CABANGBUNGIN;Jayasampurna
Banjir;2023;CABANGBUNGIN;Samudra Jaya
Banjir;2023;CABANGBUNGIN;Sriamur
Banjir;2023;CABANGBUNGIN;Satriamekar
Banjir;2023;CABANGBUNGIN;Kebalen
Banjir;2023;CABANGBUNGIN;Sukamekar
Banjir;2023;CABANGBUNGIN;Cibarusah Jaya
Banjir;2023;CABANGBUNGIN;Satriajaya
Banjir;2023;CABANGBUNGIN;Karangsatria
Banjir;2023;CABANGBUNGIN;Sukadarma
Banjir;2023;CABANGBUNGIN;Sriamur
Tanah Longsor;2023;CABANGBUNGIN;Kebalen
Tanah Longsor;2023;CABANGBUNGIN;Satriajaya
Banjir;2023;MUARA GEMBONG;Samudra Jaya
Banjir;2023;MUARA GEMBONG;Sagara Makmur
Banjir;2023;MUARA GEMBONG;Pantai Harapanjaya
Banjir;2023;MUARA GEMBONG;Pantai Mekar
Banjir;2023;MUARA GEMBONG;Pantai Bakti
Banjir;2023;MUARA GEMBONG;Hurip Jaya
Banjir;2023;MUARA GEMBONG;Pantai Bahagia
Banjir;2023;MUARA GEMBONG;Pantai Sederhana
Banjir;2024;Cibarusah;Sindangmulya
Banjir;2024;Cikarang Selatan;Pasirsari
Banjir;2024;Cikarang Selatan;Sukadami
Banjir;2024;Cibarusah;Cibarusah Jaya
Banjir;2024;Cikarang Pusat;Cicau
Banjir;2024;Cikarang Utara;Mekarmukti
Banjir;2024;Cikarang Utara;Karangraharja
Banjir;2024;Cikarang Pusat;Jayamukti
Banjir;2024;Cikarang Timur;Karangsari
Banjir;2024;Setu;Taman Rahayu
Banjir;2024;Cikarang Utara;Tanjungsari
Banjir;2024;Cikarang Utara;Karangbaru
Banjir;2024;Cikarang Utara;Simpangan
Banjir;2024;Serang Baru;Sukasari
Banjir;2024;Sukakarya;Sukajadi
Banjir;2024;Cikarang Barat;Kalijaya
Tanah Longsor;2024;Bojongmangu;Sukabungah
Tanah Longsor;2024;Setu;Cijengkol
Cuaca Ekstrem;2024;Cibitung;Wanasari
Tanah Longsor;2024;Cibarusah;Ridomanah
Cuaca Ekstrem;2024;Tambun Utara;Sriamur
Cuaca Ekstrem;2024;Cikarang Utara;Karangasih
Tanah Longsor;2024;Bojongmangu;Sukamukti
Tanah Longsor;2024;Serang Baru;Sukaragam
Banjir;2024;Cikarang Utara;Karangraharja
Banjir;2024;Cikarang Utara;Tanjungsari
Banjir;2024;Cikarang Utara;Karangraharja
Banjir;2024;Cikarang Utara;Tanjungsari
Banjir;2024;Karang Bahagia;Karanganyar
Cuaca Ekstrem;2024;Sukakarya;Sukalaksana
Cuaca Ekstrem;2024;Bojongmangu;Karangindah
Banjir;2024;Tambun Utara;Satriamekar
Banjir;2024;Tambun Utara;Satriajaya
Banjir;2024;Tambun Utara;Sriamur
Banjir;2024;Cikarang Utara;Karangraharja
Banjir;2024;Cikarang Utara;Pasirgombong
Banjir;2024;Cikarang Utara;Tanjungsari
Banjir;2024;Cibitung;Wanasari
Kekeringan;2024;Cabangbungin;Lenggahjaya
Kekeringan;2024;Babelan;Bunibakti
